"38","Отделение №100/207","","+375 16 234-01-87","Брест","г. Брест, ул. Молодогвардейская, 3/2","23.751817","52.103767"
"39","Отделение №100/210","рынок Лагуна","+375 16 257-60-34","Брест","г. Брест, ул. Волгоградская, 19","23.755235","52.077506"
"40","Отделение №100/208","пункт пропуска 'Брест'","+375 16 222-10-42","Брест","г. Брест, шоссе Варшавское, 1","23.663683","52.073917"
"41","Отделение №100/209","пункт пропуска Козловичи (Кукурыки)","+375 16 220-69-42","Брест","г. Брест, ул. Клейниковская, 121","23.5738","52.1218"
"43","Отделение №106/90","","+375 16 433-82-97","Первомайская","агрогородок Первомайская, ул. Школьная, 1","24.893352","52.526513"
"44","Отделение №106/91","","+375 16 435-12-44","Междулесье","агрогородок Междулесье, ул. Советская, 36","25.022146","52.387653"
"45","Отделение №106/92","","+375 16 435-02-76","Пески","агрогородок Пески, ул. Советская, 26","25.194196","52.490564"
"46","Отделение №106/93","","+375 16 436-23-91","Сигневичи","агрогородок Сигневичи, ул. Октябрьская, 2А","24.889598","52.436205"
"47","Отделение №106/94","","+375 16 435-52-34","Соколово","агрогородок Соколово, ул. Школьная, 4","25.085881","52.537673"
"48","Отделение №106/95","","+375 16 436-27-48","Борки","агрогородок Борки, ул. Юбилейная, 2","24.855593","52.361043"
"49","Отделение №106/96","","+375 16 433-34-07","Нарутовичи","агрогородок Нарутовичи, ул. Советская, 46","24.772688","52.555521"
"50","Отделение №106/89","","+375 16 433-07-90","Белоозерск","г. Белоозерск, ул. Энергетиков, 3-13","25.175248","52.469119"
"51","Отделение №106/97","","+375 16 435-74-43","Здитово","агрогородок Здитово, ул. Ленина, 48A","25.002483","52.474846"
"52","Отделение №106/98","","+375 16 439-73-66","Малеч","агрогородок Малеч, ул. Советская, 30","24.708287","52.488188"
"53","Отделение №106/99","","+375 16 436-42-80","Подкраичи","агрогородок Подкраичи, ул. Коммунистическая, 1","24.716729","52.434483"
"54","Отделение №106/100","","+375 16 433-92-86","Ревятичи","агрогородок Ревятичи, ул. Садовая, 14","24.849057","52.439886"
"55","Отделение №106/101","","+375 16 436-12-81","Спорово","агрогородок Спорово, ул. Ленина, 10","25.334261","52.423384"
"56","Отделение №106/86","","+375 16 433-62-68","Береза","г. Береза, ул. Тышкевича, 9","24.974983","52.53875"
"57","Отделение №106/87","","+375 16 434-14-91","Береза","г. Береза, ул. Комсомольская, 14","24.962111","52.525583"
"58","Отделение №106/88","","+375 16 439-26-23","Береза","г. Береза, ул. Свердлова, 28","24.988658","52.540245"
"61","Отделение №107/82","","+375 16 465-62-13","Денисковичи","д. Денисковичи, ул. Ленина, 91а","26.679583","52.72345"
"62","Отделение №107/83","","+375 16 465-82-44","Большие Круговичи","д. Большие Круговичи, ул. Ленина, 16","26.622","52.775017"
"63","Отделение №107/84","","+375 16 464-28-94","Хотыничи","агрогородок Хотыничи, ул. Пинская, 2","26.3067","52.628783"
"64","Отделение №107/85","","+375 16 465-34-50","Огаревичи","агрогородок Огаревичи, ул. Победы, 1а","26.5242","52.76805"
"65","Отделение №107/86","","+375 16 465-42-18","Люсино","агрогородок Люсино, ул. Крупенича, 11б","26.514317","52.625433"
"69","Отделение №107/90","","+375 16 465-22-60","Мальковичи","агрогородок Мальковичи, ул. Советская, 85","26.59625","52.534983"
"70","Отделение №107/91","","+375 16 464-42-97","Раздяловичи","агрогородок Раздяловичи, ул. Советская, 70","26.1546","52.629117"
"71","Отделение №107/92","","+375 16 462-24-37","Ганцевичи","г. Ганцевичи, ул. Октябрьская, 5","26.426017","52.761283"
"73","Отделение №117/106","","+375 16 335-63-31","Липск","агрогородок Липск, ул. Советская, 33","26.09055","52.832817"
"74","Отделение №117/107","","+375 16 334-63-12","Святица","д. Святица, ул. Молодежная, 15","26.037767","52.757117"
"77","Отделение №117/94","","+375 16 335-13-48","Кривошин","д. Кривошин, ул. Здановича, 6","26.130217","52.872833"
"79","Отделение №117/96","","+375 16 335-91-89","Русиновичи","агрогородок Русиновичи, ул. Центральная, 21","26.313117","52.98105"
"80","Отделение №117/97","","+375 16 335-75-53","Подлесье","агрогородок Подлесье, ул. Советская, 2б","26.316033","53.0892"
"81","Отделение №117/98","","+375 16 334-51-80","Жеребковичи","агрогородок Жеребковичи, ул. Минская, 6а","26.4466","53.0735"
"83","Отделение №117/100","","+375 16 333-16-02","Новоселки","агрогородок Новоселки, ул. Центральная, 20","26.283556","53.121266"
"86","Отделение №117/103","","+375 16 334-72-41","Туховичи","д. Туховичи, ул. Заводская, 12","25.965716","52.811967"
"87","Отделение №117/104","","+375 16 335-24-19","Нача","агрогородок Нача, ул. 60 лет советской власти, 1","26.42315","53.034867"
"90","Отделение №108/128","","+375 16 447-74-67","Хомск","агрогородок Хомск, ул. Макаревича, 1","25.22945","52.33425"
"92","Отделение №108/130","","+375 16 447-82-43","Осовцы","агрогородок Осовцы, ул. Советская, 49","25.240183","52.08525"
"93","Отделение №108/131","","+375 16 442-31-90","Закозель","агрогородок Закозель, ул. Элизы Ожешко, 2","25.00145","52.1308"
"95","Отделение №108/133","","+375 16 445-96-07","Новая Попина","агрогородок Новая Попина, пер. Комсомольский, 2","25.121383","52.11735"
"96","Отделение №108/134","","+375 16 447-46-49","Бездеж","агрогородок Бездеж, ул. Советская, 3","25.30915","52.315717"
"97","Отделение №108/135","","+375 16 446-62-48","Антополь","г.п. Антополь, площадь Красных Танкистов, 1","24.78585","52.205333"
"99","Отделение №108/137","","+375 16 447-64-44","Радостово","агрогородок Радостово, ул. Школьная, 6","24.93935","51.968267"
"100","Отделение №108/138","","+375 16 445-34-72","Немержа","д. Немержа, ул. Ленина, 34-6","25.055806","52.299235"
"101","Отделение №108/139","","+375 16 443-16-21","Дрогичин","г. Дрогичин, ул. Карла Маркса, 7-3","25.164815","52.190301"
"105","Отделение №109/26","","+375 16 413-71-64","Жабинка","г. Жабинка, ул. Титова, 3","23.983133","52.192267"
"106","Отделение №109/27","","+375 16 416-11-41","Ракитница","агрогородок Ракитница, ул. 24 съезда КПСС, 5","23.987745","52.135514"
"107","Отделение №109/28","","+375 16 413-35-95","Озяты","агрогородок Озяты, ул. Крачковского, 6","24.139947","52.101129"
"108","Отделение №109/29","","+375 16 413-41-95","Кривляны","агрогородок Кривляны, ул. Ленина, 3","24.069167","52.284867"
"109","Отделение №109/30","","+375 16 416-51-95","Ленинский","агрогородок Ленинский, ул. Ленина, 8","24.111111","52.166063"
"111","Отделение №109/32","","+375 16 416-47-84","Жабинка","г. Жабинка, ул. Заречная, 12","24.02935","52.193233"
"113","Отделение №111/109","","+375 16 453-19-02","Телеханы","г.п. Телеханы, ул. 17 сентября, 17","25.841484","52.517375"
"114","Отделение №111/110","","+375 16 453-32-85","Бытень","агрогородок Бытень, ул. Толочко, 1","25.501558","52.871585"
"115","Отделение №111/111","","+375 16 453-23-88","Коссово","г. Коссово, ул. 3-го Февраля, 7","25.15065","52.755461"
"116","Отделение №111/112","","+375 16 453-82-91","Любищицы","агрогородок Любищицы, ул. Шоссейная, 34","25.42225","52.752529"
"118","Отделение №111/113","","+375 16 455-43-66","Доманово","агрогородок Доманово, ул. Совхозная, 15а","25.473065","52.832089"
"119","Отделение №111/114","","+375 16 455-52-80","Добромысль","д. Добромысль, ул. Мира, 1а","25.708453","52.826132"
"120","Отделение №111/115","","+375 16 454-25-66","Квасевичи","агрогородок Квасевичи, ул. Коммунистическая, 1","25.078419","52.754824"
"121","Отделение №111/116","","+375 16 454-42-97","Святая Воля","агрогородок Святая Воля, ул. Турнянская, 1","25.69273","52.533355"
"123","Отделение №111/119","","+375 16 455-92-87","Оброво","агрогородок Оброво, бул. Первомайский, 50","25.565175","52.510567"
"124","Отделение №111/120","","+375 16 454-72-25","Зеленый бор","п. Зеленый бор, ул. Центральная, 5","25.239247","52.653736"
"125","Отделение №111/122","","+375 16 455-02-97","Омельная","агрогородок Омельная, ул. Мичуринская, 24","25.738011","52.479065"
"128","Отделение №111/124","","+375 16 456-43-44","Волька","д. Волька, ул. Советская, 2а","25.621385","52.779798"
"129","Отделение №111/125","","+375 16 459-73-32","Ивацевичи","г. Ивацевичи, ул. Депутатская, 41а","25.328267","52.712103"
"133","Отделение №112/109","","+375 16 525-85-41","Мотоль","агрогородок Мотоль, пл. Ленина, 1а","25.609617","52.316917"
"135","Отделение №112/111","","+375 16 524-73-41","Достоево","агрогородок Достоево, ул. Молодежная, 5","25.6691","52.236283"
"136","Отделение №112/112","","+375 16 524-22-72","Псыщево","агрогородок Псыщево, ул. Калинина, 150","25.468117","52.29235"
"138","Отделение №112/114","","+375 16 524-42-10","Молодово","агрогородок Молодово, ул. Новая, 13","25.689233","52.2761"
"139","Отделение №112/115","","+375 16 529-72-42","Горбаха","агрогородок Горбаха, ул. Советская, 99","25.365083","52.095467"
"140","Отделение №112/116","","+375 16 523-32-67","Мохро","д. Мохро, ул. Ленина, 32","25.559017","51.979183"
"141","Отделение №112/117","","+375 16 529-52-66","Одрижин","агрогородок Одрижин, ул. Интернациональная, 1","25.463517","51.97505"
"142","Отделение №112/118","","+375 16 524-15-23","Ополь","агрогородок Ополь, пл. Победы, 1","25.407767","52.31925"
"143","Отделение №112/119","","+375 16 529-86-14","Крытышин","агрогородок Крытышин, ул. Советская, 11","25.48645","52.07825"
"145","Отделение №112/121","","+375 16 529-21-63","Иваново","г. Иваново, ул. Ленина, 109а","25.5386","52.134267"
"146","Отделение №112/122","","+375 16 523-04-98","Бродница","агрогородок Бродница, ул. Ленина, 48","25.6818","52.1265"
"147","Отделение №112/123","","+375 16 523-15-69","Яечковичи","агрогородок Яечковичи, ул. Пионерская, 33","25.67785","52.078017"
"148","Отделение №112/124","","+375 16 524-53-47","Лясковичи","д. Лясковичи, пл. Горького, 1","25.5499","52.166"
"150","Отделение №112/126","","+375 16 522-56-07","Иваново","г. Иваново, ул. Советская, 78б","25.523283","52.1434"
"151","Отделение №112/127","","+375 16 525-21-82","Тышковичи","агрогородок Тышковичи, ул. Центральная, 45","25.608617","52.350833"
"152","Отделение №112/128","","+375 16 523-33-35","Колено","д. Колено, п.п. Мохро","25.551717","51.93735"
"153","Обменный пункт №112/133","","+375 16 522-21-77","Иваново","г. Иваново, ул. К.Маркса, 43","25.543917","52.1468"
"155","Отделение №113/1","","+375 16 427-02-72","Тевли","д. Тевли, ул. Первомайская, 11-3","24.241328","52.34236"
"156","Отделение №113/4","","+375 16 429-82-25","Остромичи","агрогородок Остромичи, ул. Московская, 4-1","24.470858","52.275188"
"157","Отделение №113/10","","+375 16 424-73-42","Батчи","агрогородок Батчи, ул. Садовая, 12","24.22794","52.24178"
"161","Отделение №113/20","","+375 16 426-76-22","Городец","агрогородок Городец, ул. Советская, 15","24.66859","52.20242"
"162","Отделение №113/25","","+375 16 426-82-51","Дивин","агрогородок Дивин, ул. Ленина, 82","24.57354","51.958199"
"163","Отделение №113/26","","+375 16 426-30-81","Новоселки","агрогородок Новоселки, ул. Советская, 66","24.35643","52.02609"
"164","Отделение №113/27","","+375 16 426-02-37","Повитье","агрогородок Повитье, ул. Школьная, 5","24.7585","51.98643"
"167","Отделение №113/49","","+375 16 422-22-14","Кобрин","г. Кобрин, ул. Маршала Жукова, 1-40","24.351646","52.211777"
"168","Отделение №113/57","","+375 16 422-86-84","Кобрин","г. Кобрин, ул. Интернациональная, 10","24.357202","52.210195"
"169","Отделение №113/58","","+375 16 422-55-09","Кобрин","г. Кобрин, ул. Дружбы, 5А-1","24.343344","52.195445"
"171","Отделение №113/62","","+375 16 429-96-29","Хидры","агрогородок Хидры, ул. Ленина, 11","24.37128","52.14733"
"172","Обменный пункт №113/3","","+375 16 422-73-35","Кобрин","г. Кобрин, ул. Ленина, 11","24.35501","52.21082"
"174","Отделение №115/134","","+375 16 315-92-34","Дмитровичи","агрогородок Дмитровичи, ул. Беловежская, 6","23.778","52.49"
"175","Отделение №115/135","","+375 16 317-31-44","Пелище","агрогородок Пелище, ул. Первомайская, 39","23.917","52.323"
"176","Отделение №115/136","","+375 16 315-63-34","Каменюки","агрогородок Каменюки, ул. Пущанская, 12","23.797","52.558"
"177","Отделение №115/137","","+375 16 315-51-96","Видомля","агрогородок Видомля, ул. Брестская, 1","23.783","52.326"
"179","Отделение №115/139","","+375 16 314-82-84","Войская","агрогородок Войская, ул. Советская, 33/1","23.6297","52.409843"
"181","Отделение №115/141","","+375 16 319-62-74","Новицковичи","агрогородок Новицковичи, ул. Школьная, 17","23.847","52.442"
"182","Отделение №115/142","","+375 16 319-13-90","Высокое","г. Высокое, ул. Советская, 3","23.376","52.368"
"183","Отделение №115/143","","+375 16 319-67-49","Волчин","д. Волчин, ул. Ленина, 67","23.316","52.278"
"184","Отделение №115/144","","+375 16 319-49-56","Верховичи","д. Верховичи, ул. Пограничная, 4","23.51","52.471"
"185","Отделение №115/145","","+375 16 317-51-74","Оберовщина","д. Оберовщина, ул. Первомайская, 20/1","23.385","52.399"
"187","Отделение №115/147","","+375 16 314-12-47","Новоселки","агрогородок Новоселки, ул. Ленина, 6","23.234","52.259"
"189","Отделение №115/149","","+375 16 313-31-19","Каленковичи","агрогородок Каленковичи, ул. Молодежная, 2","23.571","52.498"
"190","Отделение №115/150","","+375 16 317-28-15","Беловежский","агрогородок Беловежский, ул. Ленина, 6","23.461501","52.402558"
"191","Отделение №115/151","","+375 16 319-47-87","Пограничная","агрогородок Пограничная, п.п. Песчатка","23.362","52.467"
"192","Отделение №115/152","","+375 16 314-41-54","Рясна","агрогородок Рясна, ул. Юбилейная, 1","23.405","52.395"
"194","Отделение №119/86","","+375 16 475-61-95","Лахва","д. Лахва, ул. Городокская, 32а","27.100215","52.213175"
"195","Отделение №119/87","","+375 16 477-82-81","Бостынь","агрогородок Бостынь, ул. Октябрьская, 3","26.755317","52.389827"
"196","Отделение №119/88","","+375 16 477-52-39","Лунин","агрогородок Лунин, ул. Иркутско-Пинской дивизии, 44/3","26.639617","52.30486"
"198","Отделение №119/90","","+375 16 477-12-96","Кожан-Городок","агрогородок Кожан-Городок, ул. П.Янкевича, 22Б","27.011317","52.205976"
"199","Отделение №119/91","","+375 16 477-03-88","Большие Чучевичи","агрогородок Большие Чучевичи, ул. Ленина, 56","26.859433","52.581428"
"200","Отделение №119/92","","+375 16 479-52-09","Дворец","агрогородок Дворец, ул. Школьная, 6","26.952322","52.274638"
"201","Отделение №119/93","","+375 16 479-32-33","Красная Воля","агрогородок Красная Воля, ул. Советская, 8","27.06117","52.370834"
"202","Отделение №119/94","","+375 16 477-22-92","Язвинки","д. Язвинки, ул. Ленина, 4","26.90305","52.2527"
"203","Отделение №119/95","","+375 16 479-22-34","Дятловичи","агрогородок Дятловичи, ул. Коммунистическая, 5","26.829965","52.341924"
"204","Отделение №119/96","","+375 16 479-12-24","Вулька-2","агрогородок Вулька-2, ул. Советская, 31","26.985044","52.353779"
"205","Отделение №119/97","","+375 16 477-92-82","Велута","агрогородок Велута, ул. Школьная, 1","26.787567","52.456417"
"206","Отделение №119/98","","+375 16 472-76-70","Микашевичи","г. Микашевичи, ул. Ленинская, 6","27.469692","52.217759"
"207","Отделение №119/99","","+375 16 479-82-69","Синкевичи","агрогородок Синкевичи, ул. Комсомольская, 28","27.251663","52.220225"
"208","Отделение №119/100","","+375 16 479-73-69","Редигерово","агрогородок Редигерово, ул. Центральная, 30/3","27.187067","52.286017"
"209","Отделение №119/101","","+375 16 477-62-18","Богдановка","агрогородок Богдановка, ул. Советская, 119","26.456167","52.367692"
"211","Отделение №119/103","","+375 16 477-72-24","Полесский","агрогородок Полесский, ул. Октябрьская, 8","26.66995","52.291217"
"212","Отделение №119/104","","+375 16 472-76-60","Микашевичи","г. Микашевичи, ул. Первомайская, 9","27.485795","52.222675"
"213","Отделение №119/105","","+375 16 473-36-51","Лунинец","г. Лунинец, ул. Красная, 115","26.797783","52.25425"
"214","Отделение №119/106","","+375 16 472-41-60","Лунинец","г. Лунинец, ул. Красная, 165","26.791217","52.2584"
"215","Отделение №119/107","","+375 29 634-20-37","Лунинец","г. Лунинец, ул. Вокзальная, 6","26.806067","52.243883"
"218","Отделение №120/2","","+375 16 516-51-02","Черняны","агрогородок Черняны, ул. Мира, 4","24.208611","51.985556"
"219","Отделение №120/3","","+375 16 516-51-03","Доропеевичи","д. Доропеевичи, ул. Юбилейная, 1а","24.309307","51.962002"
"220","Отделение №120/4","","+375 16 516-51-04","Великорита","агрогородок Великорита, ул. Ленина, 2","24.069788","51.928556"
"221","Отделение №120/5","","+375 16 516-51-05","Мокраны","агрогородок Мокраны, ул. Лютина, 54","24.263358","51.835261"
"222","Отделение №120/6","","+375 16 516-51-06","Олтуш","агрогородок Олтуш, ул. Советская, 94","23.964474","51.686393"
"225","Отделение №120/9","","+375 16 516-51-09","Хотислав","агрогородок Хотислав, ул. Ленина, 22","24.09837","51.711941"
"226","Отделение №120/10","","+375 16 516-51-10","Орехово","агрогородок Орехово, ул. Советская, 19","23.953889","51.641111"
"227","Отделение №120/11","","+375 16 516-51-11","Ляховцы","агрогородок Ляховцы, ул. Малоритская, 2","24.201646","51.80104"
"228","Отделение №120/13","","","Радеж","д. Радеж, ул. Молодежная, 20 а","23.822118","51.697108"
"230","Отделение №120/16","","+375 16 516-51-16","Ланская","д. Ланская, ул. Ленина, 13","23.946053","51.694109"
"231","Отделение №120/18","","+375 16 516-07-18","Малорита","г. Малорита, ул. Заводская, 14","24.065997","51.790286"
"233","Отделение №120/21","","+375 16 516-51-21","Мокраны","п.п. Мокраны","24.309803","51.827504"
"234","Отделение №120/24","","+375 16 516-07-24","Малорита","г. Малорита, ул. Лермонтова, 5а","24.074841","51.790542"
"236","Отделение №121/1","","+375 16 561-90-03","Пинск","г. Пинск, ул. Ольховских, 10","26.11615","52.116017"
"237","Отделение №121/2","","+375 16 561-23-24","Пинск","г. Пинск, ул. Центральная, 5а","26.112483","52.13738"
"238","Отделение №121/3","","+375 16 532-30-77","Пинск","г. Пинск, ул. Завальная, 24-58","26.10135","52.115"
"239","Отделение №121/4","","+375 16 567-42-37","Городище","д. Городище, ул. Лунинецкая, 30","26.261817","52.175467"
"241","Отделение №121/8","","+375 16 567-34-36","Пинковичи","д. Пинковичи, ул. Лунинецкая, 182","26.167283","52.140006"
"242","Отделение №121/10","","+375 16 537-81-30","Парохонск","агрогородок Парохонск, ул. Ленина, 14","26.44165","52.229283"
"243","Отделение №121/12","","+375 16 567-04-82","Галево","д. Галево, ул. Пинская, 94","26.089965","52.161146"
"245","Отделение №121/16","","+375 16 567-79-97","Оснежицы","агрогородок Оснежицы, ул. Пинская, 6","26.12775","52.185633"
"246","Отделение №121/19","","+375 16 538-92-52","Молотковичи","агрогородок Молотковичи, пер. Владимировский, 3","25.913336","52.112203"
"249","Отделение №121/23","","+375 16 538-47-89","Плещицы","агрогородок Плещицы, ул. Пинская, 22","26.200567","52.065533"
"250","Отделение №121/25","","+375 16 539-76-94","Жидче","агрогородок Жидче, ул. Школьная, 4","25.954283","51.9564"
"251","Отделение №121/27","","+375 16 538-61-74","Березовичи","д. Березовичи, пер. Школьный, 6","25.863993","52.159072"
"254","Отделение №121/32","","+375 16 568-30-92","Пинск","г. Пинск, ул. Партизанская, 42","26.113267","52.124917"
"255","Отделение №121/34","","+375 16 568-52-76","Логишин","г.п. Логишин, ул. Ленина, 104","25.988532","52.339106"
"256","Отделение №121/35","","+375 16 539-22-22","Тобулки","д. Тобулки, ул. Южная, 2-1/А","25.756017","52.288417"
"257","Отделение №121/36","","+375 16 568-04-63","Камень","д. Камень, ул. 50 лет БССР, 39","26.365383","52.323767"
"258","Отделение №121/38","","+375 16 567-54-47","Бобрик","д. Бобрик, ул. Чапаева, 10","26.30765","52.469967"
"259","Отделение №121/39","","+375 16 538-29-54","Лыще","д. Лыще, ул. Кирова, 100","26.148517","52.364683"
"261","Отделение №121/41","","+375 16 539-81-30","Чухово","д. Чухово, ул. Октябрьская, 29","26.2546","52.328183"
"262","Отделение №121/42","","+375 16 538-51-45","Валище","агрогородок Валище, ул. Октябрьская, 10","25.942983","52.39885"
"265","Отделение №121/55","","+375 16 530-65-36","Кончицы","д. Кончицы, ул. Советская, 5","25.8154","52.066983"
"266","Отделение №121/57","","+375 16 539-85-81","Каллауровичи","д. Каллауровичи, ул. Гагарина, 1","26.4948","52.088667"
"268","Отделение №121/59","","+375 16 539-63-45","Кошевичи","д. Кошевичи, ул. Центральная, 23","25.995783","52.1732"
"270","Отделение №121/62","","+375 16 533-67-97","Пинск","г. Пинск, ул. Студенческая, 12","26.116635","52.131244"
"273","Отделение №121/68","","+375 16 564-77-31","Пинск","г. Пинск, ул. Брестская, 61","26.075183","52.112617"
"276","Отделение №121/72","","+375 16 562-26-73","Пинск","г. Пинск, пр. Жолтовского, 11-107","26.079517","52.134233"
"277","Отделение №121/73","","+375 16 561-35-43","Пинск","г. Пинск, ул. Первомайская, 145-108","26.096869","52.132518"
"278","Отделение №121/75","","+375 16 561-16-92","Пинск","г. Пинск, ул. Брестская, 118-98","26.066567","52.11365"
"279","Отделение №121/76","","+375 16 537-19-74","Пинск","г. Пинск, ул. Козубовского, 11","26.030484","52.127557"
"282","Отделение №121/79","","+375 16 563-12-44","Пинск","г. Пинск, ул. Федотова, 3","26.093053","52.140444"
"288","Отделение №122/64","","+375 16 326-07-55","Слобудка","д. Слобудка, ул. Армейская, 2","24.517797","52.517481"
"289","Отделение №122/65","","+375 16 325-21-97","Хорева","агрогородок Хорева, ул. Октябрьская, 6","24.583026","52.641289"
"290","Отделение №122/66","","+375 16 325-17-43","Линово","агрогородок Линово, ул. Парковая, 1","24.521237","52.47489"
"291","Отделение №122/67","","+375 16 326-84-03","Новые Засимовичи","д. Новые Засимовичи, ул. Почтовая, 151","24.401111","52.602222"
"292","Отделение №122/68","","+375 16 329-20-56","Пружаны","г. Пружаны, ул. Набережная, 10","24.464985","52.550178"
"293","Отделение №122/69","","+375 16 324-12-95","Шерешево","г.п. Шерешево, пл. Фимина, 1","24.215149","52.555925"
"294","Отделение №122/70","","+375 16 326-00-83","Сухополь","агрогородок Сухополь, ул. Тихая, 1","24.17343","52.658672"
"295","Отделение №122/71","","+375 16 326-48-29","Мурава","агрогородок Мурава, ул. Колхозная, 2","24.219792","52.640886"
"298","Отделение №122/74","","+375 16 326-08-24","Кобыловка","агрогородок Кобыловка, ул. Центральная, 1","24.657248","52.679787"
"300","Отделение №122/76","","+375 16 326-92-15","Великое Село","агрогородок Великое Село, ул. Свердлова, 76","24.319578","52.634861"
"302","Отделение №122/78","","+375 16 323-11-90","Ружаны","г.п. Ружаны, пл. 17 Сентября, 8","24.89037","52.867301"
"303","Отделение №122/79","","+375 16 323-31-42","Лысково","агрогородок Лысково, ул. Пружанская, 14","24.615513","52.854747"
"304","Отделение №122/80","","+375 16 324-82-96","Могилевцы","д. Могилевцы, ул. Ружанская, 6","24.673363","52.872987"
"305","Отделение №122/81","","+375 16 326-12-37","Клепачи","агрогородок Клепачи, ул. Ленина, 1","24.352382","52.705444"
"307","Отделение №122/83","","+375 16 329-27-02","Пружаны","г. Пружаны, ул. Октябрьская, 60-51","24.469571","52.560368"
"308","Отделение №122/84","","+375 16 329-23-92","Пружаны","г. Пружаны, ул. Советская, 8-33","24.456965","52.55788"
"310","Отделение №124/140","","+375 16 552-72-40","Речица","р.п. Речица, мкр. Горынь, 21д","26.795768","51.863562"
"311","Отделение №124/141","","+375 16 553-94-32","Плотница","агрогородок Плотница, ул. Ленина, 7","26.64242","52.045714"
"312","Отделение №124/142","","+375 16 553-12-99","Бережное","агрогородок Бережное, ул. Ленина, 135","26.99305","51.993106"
"314","Отделение №124/144","","+375 16 554-42-21","Струга","агрогородок Струга, ул. Советская, 26а","26.8899","51.850583"
"315","Отделение №124/145","","+375 16 557-42-23","Видибор","д. Видибор, ул. Советская, 7","26.770268","51.985729"
"316","Отделение №124/146","","+375 16 557-22-48","Стахово","д. Стахово, ул. Советская, 95","26.714967","52.080083"
"317","Отделение №124/147","","+375 16 553-62-14","Городная","д. Городная, ул. Советская, 7","26.497111","51.873347"
"318","Отделение №124/148","","+375 16 557-02-42","Федоры","агрогородок Федоры, ул. Центральная, 18","26.399548","51.948393"
"320","Отделение №124/150","","+375 16 556-92-75","Белоуша","агрогородок Белоуша, ул. Ленина, 175","26.908295","51.937291"
"321","Отделение №124/151","","+375 16 554-52-54","Дубой","агрогородок Дубой, ул. Первомайская, 33","26.865708","52.025731"
"322","Отделение №124/152","","+375 16 555-14-04","Давид-Городок","г. Давид-Городок, ул. Советская, 19а","27.214863","52.054653"
